tweets,favorites,followers,friends,listed,fav,rt
10183,45886,404,820,9,0,0
147277,824,1243,1906,117,0,0
52636,16900,1374,982,60,17,2
9060,3580,62883,565,363,0,1
4587,1856,47,209,1,1,0
8536,16055,344,907,14,3,0
3043,3363,175,527,1,0,95
22386,9796,897,759,60,1,0
4306,1098,54,452,2,0,0
12187,127718,1210,1356,27,1,0
10323,36127,658,686,21,0,0
133,51,15,83,0,0,95
4194,1306,1649,2479,37,0,0
24603,8708,470,262,25,0,0
6292,20229,916,1023,42,1,0
66655,66919,789,585,44,0,0
5605,2604,68,127,5,0,0
98418,94338,842,1287,58,0,95
4844,164,361,872,7,1,0
12667,268231,601,155,24,0,3
21899,11570,609,1003,29,1,0
1094,4764,334,106,5,0,95
8637,3986,113,69,2,5,0
45714,5150,704,1520,28,0,95
161036,7039,4693,674,86,3,0
41584,29465,900,593,36,3,0
48399,19,321,322,15,1,0
3630,5572,107,398,1,0,42
3507,1482,330,1014,39,0,42
17436,5011,6173,6510,147,0,42
25760,511,200,372,10,0,42
48311,10008,627,798,52,0,42
7140,10145,205,996,1,0,42
9594,48447,221,355,7,0,5
414416,27208,2017,817,168,1,0
31232,90,205,256,11,0,42
16842,28203,243,1616,53,1,0
22789,18184,737,310,18,2,0
787,759,31,264,2,1,0
25760,511,200,372,10,0,95
31232,90,205,256,11,0,95
1094,4764,334,106,5,3,0
18956,10912,544,739,13,2,0
24603,8708,470,262,25,1,0
260353,34675,5167,5601,188,3,1
16882,3578,852,408,9,3,0
